# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437884664e-10       7.309026171930e-15       4.815171199236e-13       0.000000000000e+00       8.628903620077e-09       4.854772059747e-10      -2.515854151453e-12 
    3       1.409365939531e-10       1.238791651530e-14       6.068719691874e-13       0.000000000000e+00       5.411291733562e-09       3.469573607992e-10      -2.211507030987e-12 
    4       1.324622776785e-10       1.446512635754e-14       6.277976520394e-13       0.000000000000e+00       3.776588565426e-09       2.639785174933e-10      -1.764116066986e-12 
    5       1.257504755565e-10       1.337853519748e-14       5.879551646623e-13       0.000000000000e+00       2.821984242826e-09       2.093815822269e-10      -1.309529286387e-12 
    6       1.208053899887e-10       1.032310747867e-14       5.173990841088e-13       0.000000000000e+00       2.205212291625e-09       1.709428888712e-10      -8.948468924717e-13 
    7       1.173297553953e-10       6.841600365731e-15       4.365335861672e-13       0.000000000000e+00       1.778233645716e-09       1.425663921328e-10      -5.443860557739e-13 
    8       1.150037076087e-10       4.042374146227e-15       3.576623511115e-13       0.000000000000e+00       1.468351552271e-09       1.208855455531e-10      -2.689334597221e-13 
    9       1.135828979610e-10       2.336357197407e-15       2.880590506667e-13       0.000000000000e+00       1.235838583687e-09       1.038809727737e-10      -7.009986713274e-14 
   10       1.128526858230e-10       1.571653533680e-15       2.317799681286e-13       0.000000000000e+00       1.056623424104e-09       9.029295918171e-11       5.745597618557e-14 
   11       1.126728108810e-10       1.345905907662e-15       1.905574140124e-13       0.000000000000e+00       8.886898907141e-10       7.950622648740e-11       1.233291889373e-13 
   12       1.129346471568e-10       1.288312421119e-15       1.640636561475e-13       0.000000000000e+00       7.765278532153e-10       7.028428732047e-11       1.421600850517e-13 
   13       1.135181478235e-10       1.200674797168e-15       1.505300359209e-13       0.000000000000e+00       6.844563361808e-10       6.274647733112e-11       1.277329342222e-13 
   14       1.143248469140e-10       1.054790798661e-15       1.474046707183e-13       0.000000000000e+00       6.078507054364e-10       5.620930557639e-11       9.279532855603e-14 
   15       1.153611489473e-10       9.105397340265e-16       1.516730187295e-13       0.000000000000e+00       5.433693980342e-10       5.074770270772e-11       4.959311406851e-14 
   16       1.165881692119e-10       8.293959321154e-16       1.602914708232e-13       0.000000000000e+00       4.885455333937e-10       4.611882999330e-11       7.232456309067e-15 
   17       1.179228705970e-10       8.287731532452e-16       1.707806928958e-13       0.000000000000e+00       4.415155601351e-10       4.212235764759e-11      -2.792920783689e-14 
   18       1.193693242072e-10       8.811664360269e-16       1.812740691556e-13       0.000000000000e+00       4.006946032766e-10       3.857272492404e-11      -5.233421618861e-14 
   19       1.209354647643e-10       9.538926648327e-16       1.907919243736e-13       0.000000000000e+00       3.654375327797e-10       3.544036732316e-11      -6.510245637492e-14 
