# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442757702e-10       7.309265058065e-15       4.815171147327e-13       2.388861023818e-19       8.628903620077e-09       4.854772059747e-10      -2.515854151453e-12 
    3       1.409375663758e-10       1.238839452003e-14       6.068719460986e-13       4.780044108015e-19       5.411291733562e-09       3.469573607992e-10      -2.211507030987e-12 
    4       1.324638935822e-10       1.446592354097e-14       6.277975858652e-13       7.971818545136e-19       3.776588565426e-09       2.639785174933e-10      -1.764116066986e-12 
    5       1.257528905405e-10       1.337973190847e-14       5.879550143872e-13       1.196705599136e-18       2.821984242826e-09       2.093815822269e-10      -1.309529286387e-12 
    6       1.208087563239e-10       1.032478440932e-14       5.173987897308e-13       1.676916034996e-18       2.205212291625e-09       1.709428888712e-10      -8.948468924717e-13 
    7       1.173342215359e-10       6.843838595025e-15       4.365330660151e-13       2.238195494520e-18       1.778233645716e-09       1.425663921328e-10      -5.443860557739e-13 
    8       1.150094177905e-10       4.045255171360e-15       3.576614996899e-13       2.880955750020e-18       1.468351552271e-09       1.208855455531e-10      -2.689334597221e-13 
    9       1.135899918938e-10       2.339962951919e-15       2.880577370554e-13       3.605624786225e-18       1.235838583687e-09       1.038809727737e-10      -7.009986713274e-14 
   10       1.128612984787e-10       1.576066391881e-15       2.317780349400e-13       4.412633369070e-18       1.056623424104e-09       9.029295918171e-11       5.745597618557e-14 
   11       1.126830723799e-10       1.351208675277e-15       1.905546768909e-13       5.302401938269e-18       8.886898907141e-10       7.950622648740e-11       1.233291889373e-13 
   12       1.129466827482e-10       1.294588312549e-15       1.640599037692e-13       6.275328335767e-18       7.765278532153e-10       7.028428732047e-11       1.421600850517e-13 
   13       1.135320779552e-10       1.208007400188e-15       1.505250304370e-13       7.331776845891e-18       6.844563361808e-10       6.274647733112e-11       1.277329342222e-13 
   14       1.143407873831e-10       1.063264027779e-15       1.473981485682e-13       8.472068967499e-18       6.078507054364e-10       5.620930557639e-11       9.279532855603e-14 
   15       1.153792111200e-10       9.202377740765e-16       1.516646917382e-13       9.696476265741e-18       5.433693980342e-10       5.074770270772e-11       4.959311406851e-14 
   16       1.166084603014e-10       8.404031739521e-16       1.602810274920e-13       1.100521556435e-17       4.885455333937e-10       4.611882999330e-11       7.232456309067e-15 
   17       1.179454939847e-10       8.411741236390e-16       1.707677997912e-13       1.239844664207e-17       4.415155601351e-10       4.212235764759e-11      -2.792920783689e-14 
   18       1.193943797984e-10       8.950457230281e-16       1.812583723532e-13       1.387627126681e-17       4.006946032766e-10       3.857272492404e-11      -5.233421618861e-14 
   19       1.209630493258e-10       9.693348466662e-16       1.907730505904e-13       1.543874210329e-17       3.654375327797e-10       3.544036732316e-11      -6.510245637492e-14 
   20       1.225956219332e-10       1.030562380449e-15       1.985685560614e-13       1.708585445816e-17       3.343837626633e-10       3.267209578101e-11      -6.706958946022e-14 
   21       1.243040152784e-10       1.081655446803e-15       2.047244286293e-13       1.881757149504e-17       3.070458399738e-10       3.022366935568e-11      -6.038518293391e-14 
   22       1.260879246834e-10       1.140726893637e-15       2.096934181804e-13       2.063381437143e-17       2.827706843023e-10       2.801369500322e-11      -4.840846217693e-14 
   23       1.279365611770e-10       1.227172457445e-15       2.139233687052e-13       2.253449221200e-17       2.612248154698e-10       2.601111867145e-11      -3.407761845940e-14 
   24       1.298178462011e-10       1.359591116411e-15       2.179345828312e-13       2.451949219895e-17       2.419102439590e-10       2.418236749329e-11      -2.047693857142e-14 
   25       1.317486459019e-10       1.538392512160e-15       2.222217800762e-13       2.658871451885e-17       2.246000771252e-10       2.253679476659e-11      -9.447604692631e-15 
   26       1.337412802420e-10       1.756560534043e-15       2.272302493448e-13       2.874206023668e-17       2.089813634742e-10       2.107676822822e-11      -2.331880238226e-15 
   27       1.357768978219e-10       2.007678386030e-15       2.329801778282e-13       3.097946192033e-17       1.948668566468e-10       1.976940165298e-11       6.620910054802e-16 
   28       1.378198705265e-10       2.285336748533e-15       2.392873893319e-13       3.330087589962e-17       1.820132731572e-10       1.856391212393e-11      -9.525415727930e-17 
   29       1.398799355048e-10       2.589051788884e-15       2.458479678365e-13       3.570631754604e-17       1.703550530616e-10       1.745581859425e-11      -3.801163301081e-15 
   30       1.419713365522e-10       2.920067199926e-15       2.522262570479e-13       3.819584155129e-17       1.597671058936e-10       1.644629587922e-11      -9.226628284667e-15 
   31       1.440979310893e-10       3.279007071543e-15       2.579084654786e-13       4.076954183690e-17       1.500335710069e-10       1.552719222578e-11      -1.492867190596e-14 
   32       1.462626032287e-10       3.663758715792e-15       2.625223714578e-13       4.342757512240e-17       1.411042599126e-10       1.468924318364e-11      -2.002927471850e-14 
   33       1.484586467942e-10       4.070695960788e-15       2.656891974315e-13       4.617015460096e-17       1.329161025749e-10       1.391501124416e-11      -2.370100994220e-14 
   34       1.506731822460e-10       4.496668880217e-15       2.670412777530e-13       4.899754369542e-17       1.253545997803e-10       1.318312057888e-11      -2.518539295563e-14 
   35       1.529128410519e-10       4.944269826673e-15       2.664970737122e-13       5.191003763956e-17       1.183811101703e-10       1.249407468781e-11      -2.459200264141e-14 
   36       1.551854121433e-10       5.418475920126e-15       2.640842817467e-13       5.490798335781e-17       1.119397491015e-10       1.185260234461e-11      -2.238998746771e-14 
   37       1.574932986301e-10       5.924454821406e-15       2.598749086345e-13       5.799176445039e-17       1.059467524884e-10       1.126051911721e-11      -1.915230814221e-14 
   38       1.598369672843e-10       6.464531434872e-15       2.540004457457e-13       6.116171759272e-17       1.003866722125e-10       1.071667330825e-11      -1.535845094344e-14 
   39       1.622114072334e-10       7.040265205341e-15       2.466473213197e-13       6.441819382441e-17       9.524189704737e-11       1.021643345434e-11      -1.154170488679e-14 
   40       1.646043173882e-10       7.653263629398e-15       2.380572297386e-13       6.776158400884e-17       9.046339008539e-11       9.751289192043e-12      -8.351232592809e-15 
   41       1.670017463415e-10       8.304886752707e-15       2.284586055606e-13       7.119228038413e-17       8.598778061508e-11       9.311565044372e-12      -6.389549253482e-15 
   42       1.694088891424e-10       8.995242767817e-15       2.178260228165e-13       7.471054041177e-17       8.180192176967e-11       8.896400649028e-12      -5.644098924295e-15 
   43       1.718348920149e-10       9.723866989935e-15       2.060482090975e-13       7.831658263269e-17       7.789473426727e-11       8.506475835723e-12      -5.882701743757e-15 
   44       1.742868484184e-10       1.048997094612e-14       1.929917111144e-13       8.201062327534e-17       7.423783405879e-11       8.141142175434e-12      -6.802856091018e-15 
   45       1.767694583146e-10       1.129272582782e-14       1.785110310686e-13       8.579283911530e-17       7.079567737805e-11       7.798866270096e-12      -8.072930717319e-15 
   46       1.792844957380e-10       1.213225977667e-14       1.624862962688e-13       8.966324384263e-17       6.756285936340e-11       7.478986724964e-12      -9.481077934633e-15 
   47       1.818307408270e-10       1.300892563246e-14       1.447942187873e-13       9.362177399021e-17       6.453562262713e-11       7.180288215492e-12      -1.082315078918e-14 
   48       1.844037901377e-10       1.392302192721e-14       1.252965372595e-13       9.766831994402e-17       6.170060689485e-11       6.900409672656e-12      -1.185901736230e-14 
   49       1.869957925746e-10       1.487479086290e-14       1.038391422145e-13       1.018027233926e-16       5.903413485448e-11       6.635762207342e-12      -1.231067331588e-14 
   50       1.895986637724e-10       1.586442717195e-14       8.029463268638e-14       1.060247713083e-16       5.650934504164e-11       6.382569558306e-12      -1.195044338683e-14 
   51       1.922153704831e-10       1.689211222547e-14       5.470563339251e-14       1.103341818828e-16       5.412152984954e-11       6.140512794838e-12      -1.089818924343e-14 
   52       1.948512527481e-10       1.795798568772e-14       2.717886746424e-14       1.147306103650e-16       5.186844078155e-11       5.909933054701e-12      -9.401512760978e-15 
   53       1.975107151617e-10       1.906213396836e-14      -2.153733365167e-15       1.192136495462e-16       4.974270583531e-11       5.690766930227e-12      -7.755014239950e-15 
   54       2.001971264930e-10       2.020458871232e-14      -3.313385960457e-14       1.237828270461e-16       4.773148462396e-11       5.482517217338e-12      -6.302644431381e-15 
   55       2.029128615114e-10       2.138534246051e-14      -6.561532295516e-14       1.284376575226e-16       4.582038719417e-11       5.284482841081e-12      -5.357160520100e-15 
   56       2.056596685836e-10       2.260440364733e-14      -9.959343128628e-14       1.331778207076e-16       4.400716058606e-11       5.096582530989e-12      -4.929674811509e-15 
   57       2.084382175765e-10       2.386175262065e-14      -1.351057053123e-13       1.380030228455e-16       4.229079822636e-11       4.918684528978e-12      -4.937039889665e-15 
   58       2.112478728823e-10       2.515732484520e-14      -1.721953945187e-13       1.429129450832e-16       4.066739925204e-11       4.750346603952e-12      -5.277999651552e-15 
   59       2.140865985820e-10       2.649101006149e-14      -2.109118535162e-13       1.479072428964e-16       3.912998974960e-11       4.590796898611e-12      -5.832311616517e-15 
   60       2.169508636077e-10       2.786265144461e-14      -2.513109183957e-13       1.529855455152e-16       3.766834399436e-11       4.438914776258e-12      -6.459869235694e-15 
   61       2.198371309808e-10       2.927198902712e-14      -2.934434437738e-13       1.581475341414e-16       3.627182452461e-11       4.293534426676e-12      -7.029649097949e-15 
   62       2.227469306951e-10       3.071847703036e-14      -3.373170558280e-13       1.633931984141e-16       3.493905171094e-11       4.154478648254e-12      -7.516130852533e-15 
   63       2.256827623885e-10       3.220142385199e-14      -3.829264430978e-13       1.687226367544e-16       3.367009728911e-11       4.021724177700e-12      -7.923060790036e-15 
   64       2.286465680531e-10       3.372004162608e-14      -4.302644389301e-13       1.741359845416e-16       3.246357571696e-11       3.895090671167e-12      -8.255603991560e-15 
   65       2.316396874597e-10       3.527344361354e-14      -4.793220221818e-13       1.796334160392e-16       3.131656119909e-11       3.774231791961e-12      -8.520412959566e-15 
   66       2.346628135819e-10       3.686064159253e-14      -5.300883179214e-13       1.852151463216e-16       3.022450471148e-11       3.658626298252e-12      -8.725696248715e-15 
   67       2.377159480207e-10       3.848054324888e-14      -5.825505981320e-13       1.908814331992e-16       2.918115102613e-11       3.547569130781e-12      -8.881287096709e-15 
   68       2.407988677240e-10       4.013207030834e-14      -6.366942272257e-13       1.966325673054e-16       2.818020952235e-11       3.440369291052e-12      -8.997621468831e-15 
   69       2.439127346007e-10       4.181454656229e-14      -6.925024841983e-13       2.024688357158e-16       2.722094522692e-11       3.337009957074e-12      -9.082278321330e-15 
   70       2.470587334779e-10       4.352738413956e-14      -7.499567055349e-13       2.083905543832e-16       2.630357681052e-11       3.237606728584e-12      -9.142858374725e-15 
   71       2.502375587291e-10       4.526997019105e-14      -8.090363365117e-13       2.143980809194e-16       2.542758560094e-11       3.142209112743e-12      -9.188052681193e-15 
   72       2.534493827747e-10       4.704166736825e-14      -8.697189304873e-13       2.204918162186e-16       2.459167746153e-11       3.050796900602e-12      -9.227683363181e-15 
   73       2.566938245836e-10       4.884181430162e-14      -9.319801481931e-13       2.266722060807e-16       2.379374466972e-11       2.963276543571e-12      -9.272744352013e-15 
   74       2.599699181737e-10       5.066972607907e-14      -9.957937570243e-13       2.329397428341e-16       2.303082779562e-11       2.879477529885e-12      -9.335442126506e-15 
   75       2.632760811132e-10       5.252469472440e-14      -1.061131630331e-12       2.392949669593e-16       2.229907758044e-11       2.799148761078e-12      -9.429236451570e-15 
